"rt","group","age","child.old20","aoa","letter.cnt","llm_freq_log","log_frequency_per_million_hi_kids","log_frequency_per_million_lo_kids","log_frequency_per_million_hi_adults","log_frequency_per_million_lo_adults","log_frequency_per_million_ll_lo","log_frequency_per_million_ll_sh","log_frequency_per_million_ds_lo","log_frequency_per_million_ds_sh","dwds_freq_log","childlex_freq_log","word"
8.06652149046999,"Kids",1,1.45,4.71,4,1.02325776605026,1.19610853465592,1.40454554747056,1.97302062241097,1.78829603199654,-0.138103563193322,0.103201043441688,2.46632604763286,1.6420330019666,3.44839898314645,2.81400094627261,"Bahn"
7.74066440191724,"Kids",1,1.1,2.64,4,5.45477459992391,4.82566789543285,4.84597527616084,4.06418562778686,4.07210123033899,3.64102276876839,5.14339513977949,4.0092524794314,5.70200992068449,2.48081495688474,4.70986091822534,"Ball"
8.00636756765025,"Kids",1,1.8,2.73,6,1.68655198346052,2.35211362132068,2.95991623863439,2.08026615276456,1.42829329796513,-2.33532814052954,-0.877628209570038,1.99806003828567,2.30778120833843,0.640800700187736,1.78604710807711,"Banane"
7.94555542825349,"Kids",1,1.1,4,4,4.0101273523464,3.87243725906841,3.83167439659175,3.91893077146628,3.82315366706835,3.4298629622553,3.82889447067834,3.04440389840802,4.26552581504074,4.05089759770289,4.26135368363502,"Bank"
7.76853330092603,"Kids",1,1.2,3.32,3,5.34387822357289,5.55735104786754,5.76394979358183,4.26039629674148,4.30936266319898,4.0515511788331,5.08079648345974,4.09641873909771,5.16361264098242,1.83210134851143,3.81889080867492,"Bär"
8.03495502450216,"Kids",1,1,4.92,4,-1.80995557800596,3.28028568108159,3.21197113344302,3.23383732571343,3.2474517413813,3.76946509188544,3.90149528354149,3.55033953687982,4.34466313559947,2.50943664753128,3.93136458860888,"Bart"
8.35608503102148,"Kids",1,2.6,5.08,8,0.269485963673879,-0.976114740474884,-0.846746251135933,-0.0513611420858434,-0.874291795028917,-0.255886598849706,-1.97624049823815,1.50558355318787,0.975554068488813,1.98718918197475,1.09289992806426,"Batterie"
7.97177612288063,"Kids",1,1,6.32,3,3.38300127288425,3.62460109516383,3.69014509409886,2.60789889484693,2.70922714342719,1.98215997300677,2.47810679801536,2.77124992651915,3.27813916148286,3.94692672143603,3.81889080867492,"Bau"
7.99530662029082,"Kids",1,1.2,3.12,5,2.58449357666648,3.5963026590414,3.39314061637683,3.28084336808936,3.0443757531179,1.03196768945693,2.16689422815339,3.86343132485697,4.73919917317544,2.98239370911481,4.96496658167258,"Bauch"
8.02322468471667,"Kids",1,1.1,4.31,5,3.52758250169536,3.71828657924115,3.68585324201732,3.40990048031896,2.90989783888934,1.86936447886142,2.39320735422887,3.26657136374918,4.98956348262003,3.31429508963164,3.00575203100601,"Bauer"
7.67878899819915,"Kids",1,1.15,3.16,4,6.10063503425052,5.98865079322403,6.07953633246009,4.85073398343521,4.89507032527327,5.56530847248846,6.27307324802249,5.8022503389106,5.99735486588184,3.27127850366125,4.90753147327304,"Baum"
